fips,saleprice,year,attainment_stat,pop,white_p,age65p_p,rucc_code,median_income,unemprate,lfrate,treatment,statefips
1001,143800.4167,2000,0,44021,81.68601,10.29282,2,42463,4.244752,95.92809,0,1
1001,149549.5833,2001,0,44889,81.61019,10.39676,2,42183,4.321169,95.85782,0,1
1001,151785.3333,2002,0,45909,81.42194,10.4925,2,42841,5.049481,95.19324,0,1
1001,156980.9167,2003,0,46800,81.27991,10.67094,2,44241,5.279027,94.98568,0,1
1001,162809.5833,2004,0,48366,81.14584,10.73068,2,45379,4.945935,95.28716,0,1
1001,174160.25,2005,0,49676,81.02705,10.81609,2,45019,3.919121,96.22868,0,1
1001,187752.0833,2006,0,51328,80.7493,11.0466,2,46491,3.412832,96.6998,0,1
1001,193947.5833,2007,0,52405,80.56674,11.16497,2,50375,3.48908,96.62856,0,1
1001,195020,2008,0,53277,80.37239,11.36701,2,51622,5.607695,94.69007,0,1
1001,189963.4167,2009,0,54135,80.20504,11.71516,2,53081,9.773554,91.09662,0,1
1001,182060.1667,2010,0,54742,80.17793,12.03464,2,53049,9.658715,91.19202,0,1
1001,176678.8333,2011,0,55255,80.04887,12.4767,2,48863,9.106851,91.65327,0,1
1001,175558.75,2012,0,55027,79.70087,13.16626,2,51441,7.646715,92.89647,0,1
1001,173971.75,2013,0,54792,79.46963,13.61513,2,51868,6.740231,93.68539,0,1
1001,176298.25,2014,0,54977,79.27861,13.92946,2,54366,6.164735,94.19324,0,1
1001,181695.5,2015,0,55035,78.74625,14.39084,2,56580,5.513926,94.77422,0,1
1001,186281.0833,2016,0,55416,78.27162,14.7286,2,54487,5.38854,94.88698,0,1
1003,142221.75,2000,0,141342,88.44505,15.48231,2,41283,3.87321,96.27122,0,1
1003,150092.0833,2001,0,144875,88.44521,15.5893,2,40406,4.543626,95.65385,0,1
1003,154745.4167,2002,0,147957,88.47638,15.74782,2,40818,5.309678,94.95803,0,1
1003,158801.9167,2003,0,151509,88.51289,15.91523,2,41961,5.19917,95.05779,0,1
1003,168034.5833,2004,0,156266,88.50037,15.96572,2,42227,5.322314,94.94664,0,1
1003,191339.8333,2005,0,160970,88.62645,15.97068,2,42804,4.114335,96.04826,0,1
1003,223399.8333,2006,0,168121,88.69564,15.97005,2,45493,3.291468,96.81342,0,1
1003,235223.9167,2007,0,172404,88.70966,16.03791,2,49163,3.261035,96.84194,0,1
1003,225559.8333,2008,0,175827,88.6741,16.35528,2,51957,5.027066,95.21355,0,1
1003,209902.8333,2009,0,179406,88.58734,16.59532,2,48637,9.825545,91.05349,0,1
1003,188509.5833,2010,0,183199,88.54797,16.82487,3,47618,10.9823,90.10446,0,1
1003,172680.6667,2011,0,186653,88.56006,17.0825,3,50144,9.83501,91.04565,0,1
1003,168078.5,2012,0,190403,88.42561,17.7744,3,48867,8.379692,92.2682,0,1
1003,174075.8333,2013,0,195147,88.39695,18.16477,3,47539,7.222966,93.2636,0,1
1003,181451.4167,2014,0,199745,88.30859,18.72638,3,49626,6.498618,93.89793,0,1
1003,188435.5,2015,0,203690,88.33571,19.18111,3,52387,5.898811,94.42976,0,1
1003,195269.4167,2016,0,208563,88.31768,19.70819,3,56460,5.655599,94.64713,0,1
1005,,2000,0,29015,52.41427,13.33448,6,26612,5.887919,94.43948,0,1
1005,,2001,0,28863,52.46163,13.2488,6,25480,8.177663,92.44053,0,1
1005,,2002,0,28653,51.89684,13.12253,6,25279,8.386109,92.26275,0,1
1005,,2003,0,28594,51.74512,12.94677,6,26062,7.598188,92.93836,0,1
1005,,2004,0,28287,51.54665,13.16859,6,26495,7.640823,92.90156,0,1
1005,,2005,0,28027,51.57883,13.17301,6,29534,6.093795,94.25622,0,1
1005,,2006,0,27861,51.53799,13.2192,6,28692,5.966538,94.36941,0,1
1005,,2007,0,27757,51.44648,13.52812,6,30370,6.852379,93.58705,0,1
1005,,2008,0,27808,51.44203,13.73705,6,30896,10.00765,90.90277,0,1
1005,,2009,0,27657,51.25285,13.99284,6,28802,15.15492,86.83954,0,1
1005,,2010,0,27348,51.1116,14.32646,6,33074,13.81975,87.85821,0,1
1005,,2011,0,27326,51.0576,14.59416,6,30117,12.92871,88.55144,0,1
1005,,2012,0,27132,50.77031,15.26242,6,30287,13.34152,88.22892,0,1
1005,,2013,0,26938,50.33781,15.94402,6,30981,11.58042,89.62146,0,1
1005,,2014,0,26763,50.34189,16.55644,6,34971,11.71027,89.51729,0,1
1005,,2015,0,26270,50.19794,17.30491,6,31433,9.807874,91.06815,0,1
1005,,2016,0,25965,50.17524,18.01656,6,32884,9.116178,91.64543,0,1
1009,,2000,0,51107,97.98267,12.87886,2,36863,3.653807,96.47499,0,1
1009,146246,2001,0,51845,97.76449,12.85563,2,36175,3.789169,96.34917,0,1
1009,149997.25,2002,0,52551,97.6442,12.93981,2,36386,5.729918,94.5806,0,1
1009,155000.9167,2003,0,53457,97.53447,13.02729,2,37758,4.818773,95.40276,0,1
1009,161765.75,2004,0,54124,97.43367,13.20117,2,38643,4.324939,95.85436,0,1
1009,173196.25,2005,0,54624,97.49011,13.36775,2,40588,3.711903,96.42095,0,1
1009,186127.0833,2006,0,55485,97.45337,13.74426,2,41494,3.314631,96.79171,0,1
1009,193868.5833,2007,0,56240,97.38976,14.01494,2,43266,3.359326,96.74986,0,1
1009,195992.0833,2008,0,57055,97.41653,14.24415,2,46086,5.068098,95.17637,0,1
